player_name,archetype_magicgg,mainboard,sideboard
Jon Beitler,Mono-Green Landfall,3 Ba Sing Se; 4 Badgermole Cub; 4 Earthbender Ascension; 4 Escape Tunnel; 2 Esper Origins; 4 Fabled Passage; 14 Forest; 4 Icetill Explorer; 4 Keen-Eyed Curator; 4 Llanowar Elves; 2 Meltstrider's Resolve; 3 Mightform Harmonizer; 1 Promising Vein; 3 Sapling Nursery; 4 Sazh's Chocobo,"2 Eumidian Terrabotanist; 1 Heritage Reclamation; 1 Leatherhead, Swamp Stalker; 2 Meltstrider's Resolve; 3 Mossborn Hydra; 2 Origin of Metalbending; 2 Pawpatch Formation; 1 Sapling Nursery; 1 Surrak, Elusive Hunter"
Marco Belacca,Jeskai Control,1 Cori Mountain Monastery; 2 Mistrise Village; 2 High Noon; 2 Thundering Falls; 2 Elegant Parlor; 4 Consult the Star Charts; 3 Great Hall of the Biblioplex; 2 Hallowed Fountain; 4 Floodfarm Verge; 4 Get Lost; 4 Jeskai Revelation; 2 Spell Snare; 4 No More Lies; 1 Day of Judgment; 4 Lightning Helix; 2 Sacred Foundry; 2 Meticulous Archive; 4 Stock Up; 1 Riverpyre Verge; 2 Prismari Charm; 1 Plains; 3 Steam Vents; 1 Sunbillow Verge; 2 Fire Magic; 1 Ultima,"1 Disdainful Stroke; 1 Wan Shi Tong, Librarian; 1 Annul; 2 Torpor Orb; 2 Day of Judgment; 2 The Unagi of Kyoshi Island; 2 Flashfreeze; 2 Rest in Peace; 1 Riverchurn Monument; 1 Negate"
George Berrett,Azorius Momo,"4 Hallowed Fountain; 4 Floodfarm Verge; 6 Plains; 2 Starting Town; 2 Multiversal Passage; 2 Abandoned Air Temple; 4 Daydream; 1 Mockingbird; 3 Nurturing Pixie; 4 Momo, Friendly Flier; 4 Springleaf Drum; 2 Seam Rip; 4 Starfield Shepherd; 4 Quantum Riddler; 1 Spider-Sense; 2 Parting Gust; 1 Skycoach Conductor; 1 Aang, Swift Savior; 3 Haliya, Guided by Light; 2 Cosmogrand Zenith; 4 Sage of the Skies","3 Rest in Peace; 1 Get Lost; 1 Elspeth, Storm Slayer; 1 Disdainful Stroke; 2 Beza, the Bounding Spring; 3 Avatar's Wrath; 1 Seam Rip; 2 Spider-Sense; 1 Aang, Swift Savior"
Timo Bertram,Izzet Spellementals,3 Sunderflock; 6 Island; 4 Eddymurk Crab; 4 Opt; 4 Burst Lightning; 1 Stormcarved Coast; 3 Traumatic Critique; 2 Colorstorm Stallion; 4 Winternight Stories; 1 Get Out; 2 Multiversal Passage; 2 Spell Snare; 2 Spell Pierce; 3 Hearth Elemental; 4 Riverpyre Verge; 3 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,1 Disdainful Stroke; 1 Annul; 1 Get Out; 2 Colorstorm Stallion; 1 Impractical Joke; 1 Sear; 2 Ghost Vacuum; 1 Soul-Guide Lantern; 2 The Legend of Kuruk; 2 Broadside Barrage; 1 Sunderflock
Mikey Bishara,Izzet Prowess,4 Boomerang Basics; 4 Burst Lightning; 2 Colorstorm Stallion; 4 Eddymurk Crab; 4 Flow State; 1 Get Out; 2 Impractical Joke; 7 Island; 4 Opt; 4 Riverpyre Verge; 4 Sleight of Hand; 3 Slickshot Show-Off; 2 Spell Pierce; 4 Spirebluff Canal; 4 Steam Vents; 2 Stormcarved Coast; 4 Stormchaser's Talent; 1 Vibrant Outburst,1 Annul; 1 Broadside Barrage; 2 Colorstorm Stallion; 1 Disdainful Stroke; 2 Get Out; 1 Roaring Furnace // Steaming Sauna; 1 Sear; 1 Slickshot Show-Off; 1 Spell Pierce; 1 Sunderflock; 1 The Legend of Kuruk; 2 Ghost Vacuum
Timothée Blondiaux,Mono-Green Landfall,"1 Bristly Bill, Spine Sower; 1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Escape Tunnel; 3 Meltstrider's Resolve; 3 Sapling Nursery; 1 Royal Treatment; 4 Sazh's Chocobo; 3 Ba Sing Se; 2 Mossborn Hydra; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest",2 Origin of Metalbending; 1 Meltstrider's Resolve; 2 Esper Origins; 2 Pawpatch Formation; 2 Torpor Orb; 3 Keen-Eyed Curator; 2 Mossborn Hydra; 1 Sapling Nursery
Sam Bogue,Selesnya Landfall,"3 Ba Sing Se; 4 Badgermole Cub; 1 Bushwhack; 2 Dyadrine, Synthesis Amalgam; 4 Earthbender Ascension; 4 Erode; 4 Escape Tunnel; 4 Fabled Passage; 7 Forest; 4 Hushwood Verge; 2 Icetill Explorer; 1 Keen-Eyed Curator; 4 Llanowar Elves; 2 Lumbering Worldwagon; 4 Mightform Harmonizer; 1 Mossborn Hydra; 2 Plains; 4 Sazh's Chocobo; 1 Surrak, Elusive Hunter; 2 Temple Garden","2 Mossborn Hydra; 3 Rest in Peace; 1 Restoration Magic; 3 Sheltered by Ghosts; 2 Snakeskin Veil; 2 Surrak, Elusive Hunter; 2 Voice of Victory"
Gabriel Bostic,Four-Color Control,1 Mistrise Village; 2 Elegant Parlor; 2 Thundering Falls; 1 Erode; 3 Shattered Sanctum; 3 Traumatic Critique; 4 Inevitable Defeat; 1 Starting Town; 2 Flashback; 4 Great Hall of the Biblioplex; 1 Hallowed Fountain; 3 Floodfarm Verge; 1 Sear; 4 No More Lies; 2 Day of Judgment; 4 Lightning Helix; 2 Sacred Foundry; 4 Stock Up; 4 Together as One; 2 Riverpyre Verge; 1 Plains; 4 Tablet of Discovery; 4 Steam Vents; 1 Godless Shrine,1 Ultima; 1 High Noon; 1 Flashfreeze; 1 Get Lost; 1 Annul; 2 Torpor Orb; 2 Pyroclasm; 2 Rest in Peace; 1 Erode; 3 Voice of Victory
Mike Boulinguiez,Izzet Spellementals,4 Burst Lightning; 4 Eddymurk Crab; 2 Get Out; 4 Hearth Elemental; 2 Impractical Joke; 7 Island; 1 Multiversal Passage; 4 Opt; 4 Prismari Charm; 4 Riverpyre Verge; 4 Sleight of Hand; 1 Spell Pierce; 4 Spirebluff Canal; 4 Steam Vents; 1 Stormcarved Coast; 3 Sunderflock; 3 Traumatic Critique; 4 Winternight Stories,"1 Abrade; 2 Annul; 1 Broadside Barrage; 1 Colorstorm Stallion; 1 Disdainful Stroke; 2 Hydro-Man, Fluid Felon; 1 Impractical Joke; 1 Ral, Crackling Wit; 1 Sear; 2 Soul-Guide Lantern; 1 Spell Pierce; 1 Sunderflock"
Adam Brace,Izzet Lessons,4 Abandon Attachments; 4 Accumulate Wisdom; 2 Agna Qel'a; 4 Artist's Talent; 4 Combustion Technique; 4 Firebending Lesson; 4 Gran-Gran; 1 Iroh's Demonstration; 5 Island; 3 It'll Quench Ya!; 4 Monument to Endurance; 3 Mountain; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 1 Three Steps Ahead; 3 Flashback; 1 Boomerang Basics; 1 Pyroclasm,"2 Annul; 1 Flashfreeze; 1 Ral, Crackling Wit; 1 Sear; 3 Spell Pierce; 3 Wan Shi Tong, Librarian; 1 Essence Scatter; 2 Emeritus of Ideation; 1 Impractical Joke"
Antonin Branis,Izzet Lessons,"7 Island; 4 Eddymurk Crab; 4 Gran-Gran; 4 Stormchaser's Talent; 1 Stormcarved Coast; 1 Ral, Crackling Wit; 4 Boomerang Basics; 4 Combustion Technique; 3 Flow State; 2 Multiversal Passage; 2 Iroh's Demonstration; 4 Firebending Lesson; 4 Accumulate Wisdom; 3 Abandon Attachments; 4 Riverpyre Verge; 1 It'll Quench Ya!; 4 Steam Vents; 4 Spirebluff Canal","1 Wan Shi Tong, Librarian; 2 Get Out; 2 Roaring Furnace // Steaming Sauna; 2 Spell Pierce; 2 Annul; 2 Emeritus of Ideation; 1 Ral, Crackling Wit; 2 Sunderflock; 1 Slagstorm"
Ryan Brozovich,Mono-Green Landfall,3 Promising Vein; 4 Llanowar Elves; 4 Badgermole Cub; 4 Sazh's Chocobo; 4 Icetill Explorer; 4 Mossborn Hydra; 1 Snakeskin Veil; 4 Royal Treatment; 4 Fabled Passage; 4 Escape Tunnel; 4 Earthbender Ascension; 3 Ba Sing Se; 11 Forest; 4 Tifa Lockhart; 2 Planar Engineering,"2 Pawpatch Formation; 1 Soul-Guide Lantern; 2 Sapling Nursery; 2 Fecund Greenshell; 4 Meltstrider's Resolve; 2 Surrak, Elusive Hunter; 2 Keen-Eyed Curator"
Mason Buonadonna,Bant Rhythm,"3 Sewer-veillance Cam; 4 Breeding Pool; 1 Seam Rip; 4 Badgermole Cub; 2 Mockingbird; 1 Appa, Steadfast Guardian; 4 Nature's Rhythm; 4 Llanowar Elves; 2 Vastlands Scavenger; 3 Multiversal Passage; 1 Forest; 1 Nurturing Pixie; 4 Bloom Tender; 3 Brightglass Gearhulk; 4 Temple Garden; 4 Hushwood Verge; 4 Gene Pollinator; 3 Starting Town; 3 Quantum Riddler; 1 Hallowed Fountain; 1 Meltstrider's Resolve; 2 Floodfarm Verge; 1 Unable to Scream","1 Goldvein Hydra; 2 Spider-Sense; 2 Ygra, Eater of All; 1 Leatherhead, Swamp Stalker; 1 Soul-Guide Lantern; 2 Disdainful Stroke; 2 Shimmerwilds Growth; 2 Sage of the Skies; 1 Keen-Eyed Curator; 1 Erode"
Corey Burkhart,Azorius Momo,"2 Floodpits Drowner; 4 Momo, Friendly Flier; 2 Starting Town; 4 Seam Rip; 2 Get Lost; 3 Haliya, Guided by Light; 4 Floodfarm Verge; 4 Hallowed Fountain; 4 Springleaf Drum; 4 Daydream; 4 Multiversal Passage; 2 Abandoned Air Temple; 4 Sage of the Skies; 4 Starfield Shepherd; 6 Plains; 1 Cosmogrand Zenith; 2 Nurturing Pixie; 4 Quantum Riddler",2 Disdainful Stroke; 2 Requisition Raid; 2 Emeritus of Truce; 1 Curious Farm Animals; 1 Figure of Fable; 2 Flashfreeze; 3 Rest in Peace; 2 Clarion Conqueror
Michael Byrd,Izzet Prowess,8 Island; 4 Eddymurk Crab; 4 Opt; 1 Traumatic Critique; 4 Stormchaser's Talent; 4 Burst Lightning; 4 Boomerang Basics; 2 Get Out; 4 Colorstorm Stallion; 1 Roaring Furnace // Steaming Sauna; 4 Flow State; 1 Multiversal Passage; 1 Spell Pierce; 2 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 1 Annul; 1 Impractical Joke; 1 Sear; 2 Ghost Vacuum; 2 Ral, Crackling Wit; 1 Emeritus of Ideation; 1 Fire Magic; 1 Spell Pierce; 2 Broadside Barrage; 2 Sunderflock"
Christian Calcano,Jeskai Control,1 Mistrise Village; 1 Traumatic Critique; 2 Pyroclasm; 2 Stormcarved Coast; 4 Thunder Magic; 2 Flashback; 4 Great Hall of the Biblioplex; 4 Consult the Star Charts; 2 Hallowed Fountain; 3 Sundown Pass; 4 Jeskai Revelation; 1 Impractical Joke; 3 Island; 2 Mountain; 2 Sear; 1 Into the Flood Maw; 4 Stock Up; 4 Riverpyre Verge; 4 Tablet of Discovery; 4 Steam Vents; 1 Essence Scatter; 2 Broadside Barrage; 1 Petrified Hamlet; 2 Swallowed by Leviathan,1 Disdainful Stroke; 1 Annul; 1 Slagstorm; 1 Impractical Joke; 2 Spell Pierce; 3 Emeritus of Ideation; 3 Flashfreeze; 1 Petrified Hamlet; 1 Erode; 1 Broadside Barrage
Marco Cammilluzzi,Four-Color Elementals,"1 Cori Mountain Monastery; 3 Vibrance; 2 Sunderflock; 2 Ygra, Eater of All; 3 Burst Lightning; 4 Starting Town; 2 Bounce Off; 1 Restless Reef; 1 Ill-Timed Explosion; 4 Deceit; 3 Wistfulness; 4 Secluded Courtyard; 1 Breeding Pool; 4 Flamebraider; 1 Island; 2 Superior Spider-Man; 4 Ashling, Rekindled; 1 Sear; 4 Cavern of Souls; 1 Watery Grave; 1 Pit of Offerings; 2 Spirebluff Canal; 4 Steam Vents; 2 Broadside Barrage; 3 Roaming Throne","1 Disdainful Stroke; 1 Essence Scatter; 2 Winternight Stories; 1 Sear; 2 Ghost Vacuum; 1 Beza, the Bounding Spring; 1 Ill-Timed Explosion; 1 Spider-Sense; 1 Emeritus of Ideation; 1 Fire Magic; 1 Spell Pierce; 1 Spell Snare; 1 Pit of Offerings"
Isabel Castillo,Izzet Spellementals,4 Burst Lightning; 4 Eddymurk Crab; 2 Get Out; 4 Hearth Elemental; 6 Island; 2 Multiversal Passage; 4 Opt; 4 Prismari Charm; 4 Riverpyre Verge; 4 Sleight of Hand; 1 Spell Pierce; 1 Spell Snare; 4 Spirebluff Canal; 4 Steam Vents; 4 Sunderflock; 4 Traumatic Critique; 4 Winternight Stories,2 Annul; 1 Broadside Barrage; 4 Colorstorm Stallion; 2 Get Out; 1 Impractical Joke; 3 Soul-Guide Lantern; 1 Spell Pierce; 1 Spell Snare
Marcelo Cavalcante,Izzet Lessons,4 Spirebluff Canal; 1 Stormcarved Coast; 1 Impractical Joke; 3 Flow State; 2 Abandon Attachments; 2 Iroh's Demonstration; 4 Firebending Lesson; 4 Combustion Technique; 4 Gran-Gran; 4 Boomerang Basics; 4 Accumulate Wisdom; 2 Multiversal Passage; 4 Riverpyre Verge; 4 Stormchaser's Talent; 4 Eddymurk Crab; 4 Steam Vents; 7 Island; 1 It'll Quench Ya!; 1 Traumatic Critique,"1 Ral, Crackling Wit; 2 Annul; 1 Spell Pierce; 1 The Legend of Kuruk; 2 Sunderflock; 2 Emeritus of Ideation; 1 Ghost Vacuum; 1 Soul-Guide Lantern; 1 Flashfreeze; 1 Iroh's Demonstration; 1 Price of Freedom; 1 Impractical Joke"
Winston Chamora,Izzet Prowess,6 Island; 4 Opt; 3 Elusive Otter; 4 Stormchaser's Talent; 4 Burst Lightning; 4 Boomerang Basics; 4 Colorstorm Stallion; 1 Breeding Pool; 4 Flow State; 1 Secret Identity; 2 Wild Ride; 2 Multiversal Passage; 1 Into the Flood Maw; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,"1 Elusive Otter; 2 Eddymurk Crab; 2 Get Out; 1 Sear; 2 Impractical Joke; 1 Roaring Furnace // Steaming Sauna; 2 Spell Pierce; 1 Ral, Crackling Wit; 2 Soul-Guide Lantern; 1 Broadside Barrage"
Samuel Chang,Izzet Prowess,7 Island; 3 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 2 Bounce Off; 4 Boomerang Basics; 2 Get Out; 2 Roaring Furnace // Steaming Sauna; 4 Flow State; 2 Multiversal Passage; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 1 Soul-Guide Lantern; 4 Sleight of Hand; 4 Slickshot Show-Off,"2 Elusive Otter; 1 Get Out; 1 Sear; 1 Ghost Vacuum; 2 Spell Pierce; 2 Ral, Crackling Wit; 1 Soul-Guide Lantern; 2 Emeritus of Ideation; 1 Fire Magic; 2 Broadside Barrage"
Thirawat Chaovarindr,Izzet Prowess,4 Boomerang Basics; 4 Burst Lightning; 4 Colorstorm Stallion; 3 Elusive Otter; 4 Flow State; 1 Into the Flood Maw; 6 Island; 2 Multiversal Passage; 4 Opt; 4 Riverpyre Verge; 1 Secret Identity; 4 Sleight of Hand; 4 Slickshot Show-Off; 4 Spirebluff Canal; 4 Steam Vents; 4 Stormchaser's Talent; 2 Wild Ride; 1 Breeding Pool,"1 Elusive Otter; 1 Sear; 1 Broadside Barrage; 2 Eddymurk Crab; 2 Get Out; 2 Impractical Joke; 1 Ral, Crackling Wit; 1 Roaring Furnace // Steaming Sauna; 2 Soul-Guide Lantern; 2 Spell Pierce"
Arrick Chaulk,Izzet Prowess,6 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Starting Town; 4 Boomerang Basics; 2 Get Out; 4 Flow State; 1 Impractical Joke; 4 Multiversal Passage; 1 Spell Pierce; 1 Into the Flood Maw; 1 Stock Up; 2 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Fire Magic; 4 Slickshot Show-Off,"1 Disdainful Stroke; 1 Annul; 1 Get Out; 1 Torch the Tower; 1 Sear; 1 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 2 Ral, Crackling Wit; 2 Soul-Guide Lantern; 1 Fire Magic; 1 Negate; 2 Broadside Barrage"
Xinrong Chen,Izzet Prowess,4 Boomerang Basics; 1 Bounce Off; 4 Burst Lightning; 2 Eddymurk Crab; 4 Elusive Otter; 4 Flow State; 6 Island; 2 Multiversal Passage; 1 Octopus Form; 4 Opt; 4 Riverpyre Verge; 4 Sleight of Hand; 4 Slickshot Show-Off; 4 Spirebluff Canal; 4 Steam Vents; 2 Stock Up; 4 Stormchaser's Talent; 1 Wild Ride; 1 Willowrush Verge,"1 Broadside Barrage; 2 Eddymurk Crab; 1 Fire Magic; 2 Get Out; 1 Ghost Vacuum; 2 Ral, Crackling Wit; 1 Roaring Furnace // Steaming Sauna; 1 Sear; 2 Soul-Guide Lantern; 2 Spell Pierce"
Yang Chen,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 2 Traumatic Critique; 4 Burst Lightning; 1 Stormcarved Coast; 4 Boomerang Basics; 2 Get Out; 4 Colorstorm Stallion; 4 Flow State; 1 Multiversal Passage; 2 Spell Pierce; 1 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 1 Sear; 1 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 1 Stormcarved Coast; 2 Emeritus of Ideation; 1 Ral, Crackling Wit; 2 Soul-Guide Lantern; 1 Negate; 2 Broadside Barrage; 2 Sunderflock"
Vincent Choy,Azorius Tempo,"4 High Noon; 4 Floodpits Drowner; 1 Restless Anchorage; 1 Three Steps Ahead; 4 Aang, Swift Savior; 3 Avatar's Wrath; 4 Starting Town; 4 Aven Interrupter; 4 Floodfarm Verge; 4 Hallowed Fountain; 3 Seam Rip; 2 Skycoach Conductor; 3 Island; 1 Enduring Innocence; 4 Voice of Victory; 2 No More Lies; 2 Multiversal Passage; 1 Spell Snare; 1 Enduring Curiosity; 2 Abandoned Air Temple; 5 Plains; 1 Tishana's Tidebinder","1 Disdainful Stroke; 1 Requisition Raid; 1 Glen Elendra Guardian; 1 Wan Shi Tong, Librarian; 1 Get Lost; 1 Avatar's Wrath; 2 Rest in Peace; 2 Ajani, Outland Chaperone; 1 Erode; 2 Clarion Conqueror; 1 Elspeth, Storm Slayer; 1 Tishana's Tidebinder"
Oliver Coffey,Izzet Prowess,7 Island; 1 Great Hall of the Biblioplex; 1 Multiversal Passage; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 4 Boomerang Basics; 4 Opt; 4 Sleight of Hand; 2 Spell Pierce; 4 Stormchaser's Talent; 4 Flow State; 1 Prismari Charm; 3 Colorstorm Stallion; 4 Eddymurk Crab; 1 Roaring Furnace // Steaming Sauna; 4 Burst Lightning; 2 Traumatic Critique; 1 Get Out; 1 Hearth Elemental,"2 Ral, Crackling Wit; 2 Soul-Guide Lantern; 1 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 1 Hearth Elemental; 3 Sunderflock; 1 Get Out; 2 Broadside Barrage; 1 Annul; 1 Impractical Joke"
Ryan Condon,Izzet Spellementals,4 Eddymurk Crab; 4 Sunderflock; 4 Opt; 4 Prismari Charm; 4 Burst Lightning; 4 Traumatic Critique; 1 Spell Pierce; 2 Get Out; 6 Island; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Hearth Elemental; 4 Sleight of Hand; 4 Winternight Stories; 2 Multiversal Passage; 1 Spell Snare,3 Soul-Guide Lantern; 4 Colorstorm Stallion; 1 Spell Snare; 2 Annul; 1 Broadside Barrage; 1 Impractical Joke; 2 Get Out; 1 Spell Pierce
Albert Cordobés,Jeskai Control,1 Mistrise Village; 1 Traumatic Critique; 1 Stormcarved Coast; 2 Pyroclasm; 2 Flashback; 4 Thunder Magic; 4 Great Hall of the Biblioplex; 4 Consult the Star Charts; 2 Hallowed Fountain; 4 Jeskai Revelation; 2 Sundown Pass; 1 Impractical Joke; 3 Island; 3 Mountain; 2 Sear; 1 Into the Flood Maw; 4 Stock Up; 4 Riverpyre Verge; 4 Tablet of Discovery; 4 Steam Vents; 1 Essence Scatter; 2 Broadside Barrage; 2 Swallowed by Leviathan; 2 Petrified Hamlet,1 Disdainful Stroke; 1 Annul; 1 Slagstorm; 1 Impractical Joke; 2 Spell Pierce; 3 Emeritus of Ideation; 3 Flashfreeze; 1 Petrified Hamlet; 1 Erode; 1 Broadside Barrage
